X,Y,L
-174504.95316686374,744533.2145973339,n1028
-174501.49933835858,744533.6512351548,n6456
-174499.51513166723,744533.9020813345,n6455
-174497.53092497584,744534.1529275142,n6454
-174495.54671828446,744534.403773694,n6453
-174493.56251159307,744534.6546198736,n6452
-174491.5783049017,744534.9054660534,n6450
-174489.5940982103,744535.1563122331,n6451
-174487.1736669862,744535.4623058854,n6465
-174485.18946022933,744535.7131515472,n6464
-174483.2052534725,744535.9639972091,n6463
-174481.22104671565,744536.214842871,n6462
-174479.2368399588,744536.4656885328,n6461
-174477.25263320195,744536.7165341947,n6460
-174473.76070880675,744537.3037440379,n6459
-174471.78840138274,744537.6354116807,n6457
-174469.81609395877,744537.9670793235,n6458
-174467.843786451,744538.298746468,n7163
-174465.87147894324,744538.6304136127,n7164
-174463.89917143548,744538.9620807573,n7165
-174461.92686392769,744539.2937479019,n7166
-174459.95455641992,744539.6254150465,n7167
-174457.98224891216,744539.957082191,n7168
-174456.0099414044,744540.2887493357,n7169
-174454.03763389663,744540.6204164802,n7170
-174450.66677557674,744541.1872667049,n7171
-174448.6944679703,744541.5189332627,n7172
-174446.72216036386,744541.8505998205,n7173
-174444.7498527574,744542.1822663783,n7174
-174442.77754515098,744542.5139329361,n7175
-174440.80523754453,744542.845599494,n7176
-174438.5116956083,744543.2312853559,n6449
-174436.06052635892,744543.6434775526,n6448
-174434.08821868157,744543.9751436888,n6447
-174432.11591100425,744544.3068098251,n6446
-174430.1436033269,744544.6384759613,n6445
-174428.17129564958,744544.9701420976,n6444
-174425.18950136396,744545.4540779308,n6443
-174423.21533244042,744545.7744793373,n6442
-174421.24116351685,744546.0948807438,n6441
-174419.26699459332,744546.4152821503,n6440
-174417.29282566975,744546.7356835568,n6439
-174415.3186567462,744547.0560849633,n6438
-174413.34448782264,744547.3764863698,n6437
-174411.3703188991,744547.6968877763,n6436
-174409.39614997554,744548.0172891828,n6435
-174407.421981052,744548.3376905893,n6434
-174405.44781212843,744548.6580919957,n6433
