X,Y,L
-174544.47731541272,744005.143663241,n1855
-174539.4828932373,744004.9075549317,n1854
-174534.48847106186,744004.6714466225,n1853
-174529.49404888644,744004.4353383132,n1852
-174524.49962671104,744004.199230004,n1851
-174519.5052045356,744003.9631216947,n1850
-174514.5107823602,744003.7270133855,n1849
-174509.5163601848,744003.4909050763,n1848
-174504.52193800936,744003.254796767,n1847
-174499.52751583394,744003.0186884578,n1846
-174494.64219862592,744004.0775432134,n1845
-174489.7576891188,744005.145984543,n1844
-174484.873179477,744006.214425257,n1843
-174479.98866967985,744007.2828652607,n1842
-174475.1041598827,744008.3513052644,n1841
-174470.53811925589,744009.9589698769,n1840
-174467.2442860259,744013.7207065307,n1839
-174463.9504527959,744017.4824431846,n1838
-174460.6566195659,744021.2441798385,n1837
-174457.36278633593,744025.0059164923,n1836
-174454.06895310592,744028.7676531462,n1835
-174450.77511987594,744032.5293898,n1834
-174450.37798600213,744037.5097432797,n1833
-174449.8790374956,744042.463468418,n1832
-174447.64186040632,744046.9350496451,n1831
-174445.40468331706,744051.4066308724,n1830
-174442.44928031787,744055.2371021928,n1829
-174438.25940784017,744057.9656491725,n1828
-174620.62702865814,744000.4763295503,n1827
-174553.87757368534,744005.588054806,n1826
-174499.49081397426,744003.0169533994,n1825
-174487.14110723042,744005.7183376581,n1824
-174485.4900723288,743985.5762030025,n1798
-174469.46445393376,743987.0089867567,n1797
-174452.7872167137,743995.1615351039,n1796
-174438.48660006837,744002.7468480156,n1795
-174425.5033867353,743998.5707733958,n491
-174414.06094369825,743906.8046073855,n492
-174410.3767572281,743877.2399722211,n493
-174399.14753984674,743786.9157254582,n494
-174390.9354038714,743720.8599862955,n495
-174373.58815057247,743726.7598956706,n2091
-174353.43895956478,743734.0579879303,n2092
-174345.6179374436,743745.613373699,n2093
-174348.91446279315,743765.7643708737,n2094
-174333.69415013146,743767.2877405448,n2095
-174386.20169346323,743722.4699508204,n2096
-174381.46798305504,743724.0799153453,n2097
-174376.7342726469,743725.6898798703,n2098
-174372.01148973627,743727.3309665509,n2099
-174367.31036183564,743729.0337279734,n2100
-174362.60923393504,743730.7364893958,n2101
-174357.90810603442,743732.4392508185,n2102
-174353.30066442728,743734.2623159118,n2103
