X,Y,L
-174598.6746886409,744760.1967844265,n1
-174621.5514202288,744760.1385204609,n2
-174580.72199842523,744758.9302425468,n3
-174567.06958694113,744757.3891329566,n4
-174554.78964249682,744755.6306981208,n5
-174530.8999486504,744749.6117590123,n6
-174514.03018405766,744744.5713488598,n7
-174484.58026776343,744733.9634952132,n8
-174464.09442752236,744728.238024734,n9
-174436.0953650011,744725.6605499187,n10
-174416.85077907922,744726.5265978673,n11
-174384.4984453909,744727.7352371514,n12
-174362.6699718941,744728.3679296513,n13
-174339.5804255482,744728.6002103532,n14
-174329.05166283692,744729.3691098895,n15
-174288.12987657645,744731.8983635635,n16
-174273.43011277282,744732.7050152922,n17
-174268.5313491777,744732.9825154375,n18
-174237.51383550427,744734.7395534194,n19
-174218.40411551288,744736.1425754612,n20
-174203.37997202468,744736.6801692854,n21
-174182.8001298374,744736.9878929284,n22
-174166.3893345648,744738.3859823035,n23
-174156.92423949746,744739.211269677,n24
-174142.766902002,744741.3190491198,n25
-174483.47377235207,744746.6656902008,n26
-174486.55893864768,744764.4807533708,n27
-174490.01034957782,744784.6278772601,n28
-174491.4876633431,744812.4555573453,n29
-174491.99519980903,744839.2104502313,n30
-174489.10548746164,744876.9897125937,n31
-174486.86240796122,744886.068929554,n32
-174478.18230604538,744921.2029788841,n33
-174468.00422796758,744962.4002608355,n34
-174451.82605433027,744997.0770369901,n35
-174363.43323637455,745134.2385949292,n36
-174307.5065661131,745105.5838471898,n37
-174301.9310958014,745102.0722751284,n38
-174285.81814312344,745091.9239265689,n39
-174274.49726353277,745084.7937444092,n40
-174269.59580951097,745081.0909503442,n41
-174235.23279434527,745055.1314599144,n42
-174227.5232567158,745049.3072968589,n43
-174219.89813896647,745043.5469073065,n44
-174410.37201894773,744974.1276711456,n45
-174365.35068423365,744951.9029562831,n46
-174334.61218674216,744935.7181225049,n47
-174272.94589285404,744900.1489134249,n48
-174231.82617376588,744878.3932023571,n49
-174210.62667751464,744867.1769126492,n50
-174139.53312118695,744829.2807427584,n51
-174116.6118990899,744822.8156040129,n52
-174109.7681080834,744821.7958874356,n53
-174097.1064744663,744819.9093171062,n54
-174087.52545101158,744819.1814377845,n55
-174094.65234513994,744827.1997301907,n56
-174094.92334820644,744836.4974853024,n57
-174101.69442526705,744847.3638052765,n58
-174112.85321306472,744851.9450549629,n59
-174130.83083284265,744850.8981482991,n60
-174142.98590447748,744851.7436903793,n61
-174157.83693557893,744852.7767675841,n62
-174178.64627647496,744868.3827207111,n63
-174181.75184350295,744870.7593481672,n64
-174205.0036263225,744888.5534584646,n65
-174204.47239910258,744911.8329186607,n66
-174204.207534739,744923.439777371,n67
-174203.783118938,744932.8354804383,n68
-174143.2646670787,744864.6275270209,n69
-174471.09069752158,744839.3242125752,n70
-174434.84213308568,744839.8179104374,n71
-174418.59723383235,744839.8537831098,n72
-174399.8935180762,744839.8155533081,n73
-174381.51432280985,744839.7617326401,n74
-174368.08990892785,744837.9307402646,n75
-174363.9477879879,744836.0114911435,n76
-174358.19899961766,744832.1958917772,n77
