X,Y,L
-174462.99611646883,744254.9937265831,n100
-174466.89446848258,744280.5965386138,n99
-174473.5546196779,744312.7052645627,n98
-174481.5862977185,744351.3158499222,n97
-174488.23941183256,744379.7035308197,n96
-174478.35212423126,744394.6897236236,n242
-174454.1123969658,744407.7651278741,n241
-174450.5880910466,744425.0018169737,n240
-174451.9547133331,744437.0176357249,n239
-174438.08528057951,744439.6794638078,n238
-174395.76732217587,744448.1188264454,n237
-174362.56682811948,744452.4841590697,n236
-174326.72073683885,744460.2187601771,n235
-174327.13725048673,744481.9295006283,n234
-174331.44891767146,744500.6536318454,n182
-174317.22983231215,744503.0716217175,n181
-174294.76354528646,744506.8920601272,n180
-174290.10898940355,744519.6241969033,n179
-174291.61788987982,744530.1251345004,n178
-174293.17702129437,744540.4262875381,n177
-174288.29401847557,744557.1263831339,n139
-174268.9289622337,744580.7418856082,n168
-174272.45713884875,744591.852743895,n167
-174277.4025085418,744603.8590752924,n166
-174272.213891905,744612.3910517999,n172
-174265.73270686896,744621.4690603456,n173
-174259.8164781997,744626.5950806058,n151
-174236.71778313382,744636.0542027846,n152
-174208.16457522713,744642.4809714415,n153
-174202.80642139117,744656.6286906686,n367
-174198.8973181163,744671.4598670902,n366
-174203.37997202468,744736.6801692854,n21
-174182.8001298374,744736.9878929284,n22
-174166.3893345648,744738.3859823035,n23
-174156.92423949746,744739.211269677,n24
-174156.63815214954,744753.4628833781,n390
-174159.69496523766,744773.6135502234,n389
-174160.00763229732,744789.7760786645,n388
-174139.74413477644,744795.0234529034,n387
-174130.63357536632,744796.6852596949,n386
-174116.4912827994,744798.2116968888,n385
-174109.52825217036,744803.0156347117,n384
-174109.90663638635,744819.115730785,n383
-174097.1064744663,744819.9093171062,n54
-174094.65234513994,744827.1997301907,n56
-174094.92334820644,744836.4974853024,n57
-174101.69442526705,744847.3638052765,n58
-174112.85321306472,744851.9450549629,n59
-174130.83083284265,744850.8981482991,n60
-174142.98590447748,744851.7436903793,n61
-174157.83693557893,744852.7767675841,n62
-174178.64627647496,744868.3827207111,n63
-174181.75184350295,744870.7593481672,n64
-174205.0036263225,744888.5534584646,n65
-174204.47239910258,744911.8329186607,n66
-174204.207534739,744923.439777371,n67
-174203.783118938,744932.8354804383,n68
-174203.59351222825,744952.8084360157,n500
