name,geometry
CCB(Central Classroom Block),"POLYGON ((-174330.4103797548 744772.1146746415, -174330.7750078403 744802.7786150926, -174247.77890240646 744802.9610241156, -174248.32612947523 744760.8245398183, -174330.2277807715 744761.736584933, -174330.4103797548 744772.1146746415), (-174320.74251157907 744790.7396195792, -174320.56010255613 744773.0459443547, -174294.46531617755 744773.0561406201, -174294.65802129984 744791.2868466479, -174320.74251157907 744790.7396195792), (-174283.3486618781 744790.7396195792, -174282.9994086259 744772.8319820534, -174257.2289465072 744773.1009723344, -174257.08176257595 744790.9220286021, -174283.3486618781 744790.7396195792))"
College Of Science(Aboagye Menyeh Buiding Complex),"POLYGON ((-174397.87270448467 744581.2360053905, -174390.8707085137 744546.0544531927, -174344.97368245976 744555.1888776071, -174342.45786196773 744542.5575941874, -174400.79762575336 744530.180047201, -174395.63823448867 744513.1540560275, -174395.12229536218 744499.6106539577, -174409.69757568493 744496.6440039804, -174413.8250886967 744510.5743603952, -174414.47001260478 744528.1162906952, -174430.74535011593 744525.8578539321, -174424.14410431194 744492.6713382121, -174478.5236755644 744481.8557438742, -174480.7389334312 744492.9963664683, -174477.6887793835 744493.6015915037, -174479.71479411595 744503.7783393812, -174482.16382291334 744503.2964008382, -174487.5962140641 744530.5763706303, -174483.75569163173 744531.3385063825, -174490.7354237045 744566.4191781728, -174440.11845124073 744576.495068561, -174439.4171384487 744572.9645839542, -174397.87270448467 744581.2360053905), (-174438.05904066106 744563.1576834609, -174432.53759391775 744535.3397192527, -174427.67293216995 744536.3035969066, -174428.24066157299 744539.1840220889, -174397.7057252485 744545.2362778288, -174402.65944258875 744570.1850279798, -174438.05904066106 744563.1576834609), (-174476.41973718844 744557.0269705569, -174470.96508213956 744529.2426330899, -174445.32820340974 744534.2749707008, -174449.14646194407 744553.75426852, -174447.2206347533 744554.1353365538, -174448.85703126795 744562.4403788085, -174476.41973718844 744557.0269705569), (-174466.2451357299 744518.2140819007, -174462.05952287605 744496.7734191094, -174436.97924160038 744501.6600513967, -174438.84940904565 744511.3100306574, -174441.06466691248 744510.8841314198, -174443.35784842278 744522.6748167683, -174466.2451357299 744518.2140819007))"
Petroleum Building,"POLYGON ((-174126.46849272572 744580.8280714366, -174118.53592865658 744545.0347945392, -174169.25376182722 744534.3997899089, -174176.35594533995 744570.0632734266, -174126.46849272572 744580.8280714366), (-174158.9511602287 744560.7064455053, -174156.37146459645 744550.0866984858, -174140.1623770404 744553.5692875893, -174142.9140523815 744564.6619788081, -174158.9511602287 744560.7064455053))"
Bush Canteen,"POLYGON ((-174217.99207899012 744839.3487740497, -174210.1256898762 744836.065411637, -174205.40585640786 744839.7591943513, -174198.22350112992 744839.9644045021, -174194.59812179915 744835.9970082534, -174187.0491255285 744838.6171842706, -174186.11610223283 744825.5996939462, -174194.94013871715 744816.1600270096, -174208.68921882063 744815.4759931735, -174218.17405515426 744825.5263099945, -174217.99207899012 744839.3487740497), (-174206.05136260687 744832.105370563, -174206.04023065782 744829.0119791247, -174203.84723668915 744826.8488468088, -174200.75255484506 744826.8600547479, -174198.5929567236 744829.0568108823, -174198.60408867264 744832.1389943841, -174200.7970826414 744834.3133348495, -174203.8806325363 744834.2909189671, -174206.05136260687 744832.105370563))"
"Ayim Complex(KNUST School Of Business,KSB)","POLYGON ((-174623.86874400402 744037.5817918435, -174623.69676429522 744047.4706251005, -174620.81610417253 744047.3846352461, -174621.20352956338 744058.1841389742, -174624.14234159957 744058.1841389742, -174623.73698821527 744067.3045901209, -174589.68730393407 744067.405928467, -174589.7817481781 744071.59876927, -174581.33259882694 744071.6660159879, -174581.27622120985 744068.1152968896, -174547.22653692865 744068.0139585434, -174547.63189031294 744058.0828006282, -174550.21601813787 744057.880123936, -174550.21601813787 744047.5436126364, -174547.32787527473 744047.5436126363, -174547.5849944118 744037.640909868, -174578.5400858658 744038.2711539706, -174578.29412116745 744029.6277303108, -174592.5254420721 744029.4987455291, -174592.5254420721 744038.7426548781, -174602.7474860149 744038.694285585, -174602.8012296739 744037.4098121347, -174623.86874400402 744037.5817918435), (-174563.15990679152 744056.0481130779, -174563.11691186432 744049.4268942884, -174557.52757132775 744049.3194069704, -174557.54906879136 744056.0266156142, -174563.15990679152 744056.0481130779), (-174578.92829634369 744055.886882101, -174578.92829634369 744049.394648093, -174573.81996155524 744049.4000224592, -174573.74472043262 744055.9782463213, -174578.92829634369 744055.886882101), (-174596.70669874267 744056.0803592734, -174596.87867845153 744049.5021354111, -174591.6440460644 744049.4591404839, -174591.74078465055 744055.9728719554, -174596.70669874267 744056.0803592734), (-174613.19780022345 744056.3600487448, -174613.40047691562 744049.6717179039, -174607.4215144972 744049.5703795578, -174607.8268678815 744056.562725437, -174613.19780022345 744056.3600487448))"
Engineering Auditorium(Kumapley Auditorium),"POLYGON ((-174232.9817069188 744492.6105423663, -174197.1561838258 744499.0597814469, -174190.19100561872 744457.558927963, -174225.65107183045 744451.1096888824, -174232.9817069188 744492.6105423663), (-174217.03505825496 744485.4351512662, -174213.2040404048 744465.0830402237, -174209.89343101007 744465.8569489135, -174213.37602011362 744486.1075596266, -174217.03505825496 744485.4351512662), (-174212.4301317151 744486.3655291898, -174209.2055121748 744465.8139539863, -174205.63693321685 744466.587862676, -174209.0765273932 744486.9244632437, -174212.4301317151 744486.3655291898))"
KNUST School Of Medicine And Dentistry(SMS),"POLYGON ((-174637.82301831967 744485.3252676806, -174579.95882271088 744500.728696284, -174576.51331894431 744486.7440045256, -174634.37751455314 744471.8472676526, -174637.82301831967 744485.3252676806))"
KNUST School Of Medicine And Dentistry(SMS),"POLYGON ((-174651.2111938499 744428.2527740423, -174604.790966189 744440.603834552, -174603.52192399403 744435.8180784712, -174583.56233929476 744441.1193961225, -174584.88704123526 744446.0844784457, -174544.79441662284 744456.241162357, -174541.14623616415 744440.4323803693, -174547.4292136208 744438.8109668321, -174543.7810331621 744425.4343051502, -174559.58981514978 744421.5834479994, -174561.9106983355 744434.0024053124, -174646.73615031998 744411.4297823001, -174651.2111938499 744428.2527740423))"
KNUST School Of Medicine And Dentistry(SMS)Lecture Block,"POLYGON ((-174637.69432996432 744460.7163364311, -174610.38765887273 744467.7100443365, -174608.77352625615 744461.4224319014, -174589.72676138152 744466.2978532453, -174591.35202594707 744472.6639213087, -174558.3737549969 744481.1703954914, -174553.9148677696 744464.1455533509, -174633.37513372157 744443.8372950632, -174637.69432996432 744460.7163364311))"
Engineering Labs,"POLYGON ((-174488.45942060687 744463.4398475776, -174344.3829068937 744490.7429502227, -174339.61046997382 744460.6250037152, -174482.53722369665 744432.763929442, -174488.45942060687 744463.4398475776))"
KNUST School Of Medicine And Dentistry(SMS)Lecture Block,"POLYGON ((-174634.78286793747 744366.7087335997, -174589.58596558802 744378.0586283602, -174587.93949689172 744372.3629582868, -174567.95022870097 744377.5519366298, -174569.77431893031 744383.6322373943, -174515.81164964545 744397.3129141144, -174512.16346918675 744381.5041321267, -174561.22281910127 744368.7988633545, -174564.68485526502 744367.8798200443, -174630.09618805503 744349.622243331, -174634.78286793747 744366.7087335997))"
Bamfo Kwakye Building,"POLYGON ((-174299.0387745721 744554.0457154314, -174248.18803117773 744563.292219698, -174246.37352347784 744553.3508266881, -174297.2242668721 744544.1043240956, -174299.0387745721 744554.0457154314))"
Herbal Medicine,"POLYGON ((-174357.20759395463 744617.1418612389, -174305.74506972526 744626.2594085045, -174300.2727990373 744597.6667941599, -174344.01207564637 744590.3836940209, -174352.58956362391 744588.5779070782, -174357.20759395463 744617.1418612389))"
Pharmacy Building(Tackie Building),"POLYGON ((-174432.27453886904 744659.1310226265, -174403.91033261493 744664.2530352738, -174362.68262278548 744671.7408450262, -174361.2637901877 744660.003229899, -174401.80639423893 744652.6864778519, -174430.18173244214 744647.5644662837, -174432.27453886904 744659.1310226265))"
Amissah Complex,"POLYGON ((-174663.17017031272 744566.5193991591, -174630.1416773944 744574.3537121415, -174627.14871253303 744562.6802051861, -174660.52280784037 744554.6069169488, -174663.17017031272 744566.5193991591))"
Amissah Complex,"POLYGON ((-174642.14678775214 744544.1690673031, -174608.77269244476 744552.9517239629, -174605.52986537036 744541.1964758183, -174639.57954965156 744532.5489369532, -174642.14678775214 744544.1690673031))"
