X,Y,L
-174565.79422305687,744360.270519088,n265
-174576.1035132185,744358.3709217405,n264
-174608.23227189772,744351.7107604498,n263
-174634.37118524866,744344.7918610227,n262
-174647.5371525408,744349.4134462712,n261
-174651.80096108612,744366.5522903182,n260
-174652.20509112647,744392.6048860382,n259
-174651.67994380524,744408.5236667449,n258
-174655.49033535202,744437.4808395855,n257
-174654.00391572824,744454.3616928757,n256
-174651.49840486073,744471.4807903245,n255
-174640.83356585898,744492.7973507406,n254
-174630.64778780346,744514.1756199311,n247
-174617.4379527391,744524.7505748243,n246
-174586.1236407022,744536.3406528602,n245
-174562.90423262498,744541.189064392,n244
-174545.3129279668,744544.8622724854,n243
-174506.75063662842,744549.9502098801,n89
-174504.95316686374,744533.2145973339,n90
-174503.02728230532,744492.1317204204,n91
-174501.84370438266,744470.4911449434,n92
-174501.14071330475,744457.637645795,n93
-174497.9385995157,744428.1923593293,n94
-174496.49724295907,744414.9382578409,n95
-174488.23941183256,744379.7035308197,n96
-174481.5862977185,744351.3158499222,n97
