X,Y,L
-174321.1732215398,744502.4010388373,n2100
-174319.201526926,744502.7363302774,n2099
-174317.22983231215,744503.0716217175,n2098
-174314.4804925941,744503.5391526028,n2097
-174312.50879786332,744503.8744433551,n2096
-174310.53710313258,744504.2097341076,n2095
-174308.5654084018,744504.5450248601,n2094
-174306.59371367106,744504.8803156125,n2093
-174304.62201894028,744505.215606365,n2092
-174302.6503242095,744505.5508971175,n2091
-174300.67862947876,744505.8861878698,n2090
-174298.70693474798,744506.2214786223,n2089
-174296.73524001724,744506.5567693748,n2088
-174294.76354528646,744506.8920601272,n2087
-174293.54249962603,744510.2321253772,n2086
-174292.85579758155,744512.1105396824,n2085
-174292.16909553704,744513.9889539876,n2084
-174291.48239349254,744515.8673682929,n2083
-174290.79569144806,744517.745782598,n2082
-174290.10898940355,744519.6241969033,n2081
-174290.4800408552,744522.2064667087,n2080
-174290.76450311136,744524.1861336565,n2079
-174291.04896536752,744526.1658006045,n2078
-174291.33342762367,744528.1454675525,n2077
-174291.61788987982,744530.1251345004,n2076
-174291.97981633156,744532.5163760167,n2075
-174292.27911757227,744534.4938538971,n2074
-174292.57841881298,744536.4713317774,n2073
-174292.87772005366,744538.4488096578,n2072
-174293.17702129437,744540.4262875381,n2071
-174292.22302114754,744543.6890121856,n2070
-174291.66173505154,744545.6086366067,n2069
-174291.10044895555,744547.528261028,n2068
-174290.53916285955,744549.4478854492,n2067
-174289.97787676356,744551.3675098703,n2066
-174289.41659066756,744553.2871342915,n2065
-174288.85530457157,744555.2067587128,n2064
-174288.29401847557,744557.1263831339,n1739
-174287.02584582055,744558.6729076623,n2477
-174285.75767316553,744560.2194321908,n2478
-174284.4895005105,744561.7659567192,n2479
-174283.22132785546,744563.3124812477,n2480
-174281.95315520043,744564.8590057761,n2481
-174280.6849825454,744566.4055303045,n2482
-174279.4168098904,744567.952054833,n2483
-174278.14863723537,744569.4985793614,n2484
-174276.88046458035,744571.0451038898,n2485
-174275.61229192532,744572.5916284183,n2486
-174274.3441192703,744574.1381529467,n2487
-174273.07594661525,744575.6846774751,n2488
-174271.80777396023,744577.2312020035,n2489
-174270.5396013052,744578.777726532,n2490
-174268.9289622337,744580.7418856082,n2019
-174269.5342638859,744582.6480886168,n2491
-174270.1395655381,744584.5542916253,n2492
-174270.74486719028,744586.4604946339,n2493
-174271.3501688425,744588.3666976424,n2494
-174272.45713884875,744591.852743895,n2014
-174273.5939660514,744594.6127244392,n2013
-174274.3556745495,744596.4619946099,n2012
-174275.11738304756,744598.3112647805,n2011
-174275.87909154565,744600.1605349511,n2010
-174276.6408000437,744602.0098051217,n2009
-174277.4025085418,744603.8590752924,n2008
-174276.3633104069,744605.5678957149,n2039
-174275.324112272,744607.2767161374,n2040
-174274.2849141371,744608.98553656,n2041
-174272.213891905,744612.3910517999,n2042
-174271.0517844121,744614.0187821753,n2043
-174269.88967691918,744615.6465125507,n2044
-174268.7275694263,744617.274242926,n2045
-174267.56546193338,744618.9019733014,n2046
-174265.73270686896,744621.4690603456,n2047
-174264.2211544797,744622.778720368,n2048
-174262.7096020904,744624.0883803905,n2049
-174259.8164781997,744626.5950806058,n1853
-174257.96565554498,744627.353009033,n1854
-174256.11483289028,744628.1109374602,n1855
-174254.26401023555,744628.8688658875,n1856
-174252.41318758082,744629.6267943147,n1857
-174250.56236492613,744630.3847227419,n1858
-174248.7115422714,744631.1426511691,n1859
-174246.8607196167,744631.9005795964,n1860
-174245.00989696197,744632.6585080236,n1861
-174243.15907430724,744633.4164364508,n1862
-174241.30825165255,744634.174364878,n1863
-174239.45742899782,744634.9322933053,n1864
-174236.71778313382,744636.0542027846,n1865
-174237.84485863833,744639.2717141141,n1892
-174238.50605415055,744641.1592576221,n1891
-174239.16724966277,744643.04680113,n1890
-174239.82844517496,744644.9343446381,n1889
-174240.48964068718,744646.8218881461,n1888
-174241.1508361994,744648.7094316542,n1887
-174241.81203171163,744650.5969751622,n1886
-174242.47322722382,744652.4845186701,n1885
-174243.13442273604,744654.3720621782,n1884
-174243.79561824826,744656.2596056862,n1883
-174244.45681376048,744658.1471491941,n1882
-174245.11800927267,744660.0346927022,n1880
-174245.7792047849,744661.9222362102,n1881
