X,Y,L
-174603.93162562314,744352.6022669699,n1855
-174607.84835665036,744351.7903445226,n1854
-174611.72007713316,744350.7875478693,n1853
-174615.58690626716,744349.7640086915,n1852
-174619.45373540116,744348.7404695137,n1851
-174623.32056453516,744347.7169303359,n1850
-174627.18739366916,744346.6933911581,n1849
-174631.05422280316,744345.6698519803,n1848
-174634.90788361052,744344.9802556295,n1847
-174638.68210908226,744346.3051035787,n1846
-174642.45633455404,744347.6299515278,n1845
-174646.2305600258,744348.9547994769,n1844
-174648.1685295588,744351.9513351402,n1843
-174649.13421581173,744355.8330164847,n1842
-174650.09990206466,744359.7146978293,n1841
-174651.06558831758,744363.5963791739,n1840
-174651.81575766104,744367.5061644326,n1839
-174651.87779853123,744371.50568327,n1838
-174651.9398394014,744375.5052021074,n1837
-174652.0018802716,744379.5047209447,n1836
-174652.0639211418,744383.5042397821,n1835
-174652.12596201198,744387.5037586194,n1834
-174652.18800288215,744391.5032774569,n1833
-174652.10953196252,744395.5015691477,n1832
-174651.97764703768,744399.4993943522,n1831
-174651.84576211285,744403.4972195568,n1830
-174651.713877188,744407.4950447615,n1829
-174652.06752419745,744411.4690943391,n1828
-174652.5893741839,744415.434907319,n1827
-174653.11122417037,744419.400720299,n1826
-174653.63307415682,744423.3665332788,n1825
-174654.15492414328,744427.3323462588,n1824
-174654.67677412974,744431.2981592386,n1823
-174655.1986241162,744435.2639722186,n1822
-174655.33560555443,744439.2380627618,n1821
-174654.98474876673,744443.2226454896,n1820
-174654.63389197903,744447.2072282174,n1819
-174654.28303519133,744451.1918109452,n1818
-174653.88547845144,744455.1709247611,n1817
-174653.3062190116,744459.1287598386,n1816
-174652.72695957177,744463.0865949162,n1815
-174652.14770013193,744467.0444299938,n1814
-174651.5684406921,744471.0022650714,n1813
-174649.92505933685,744474.6255461816,n1812
-174648.13532447052,744478.202814568,n1811
-174646.3455896042,744481.7800829543,n1810
-174644.55585473788,744485.3573513407,n1809
-174642.76611987155,744488.9346197271,n1808
-174640.97638500523,744492.5118881136,n1807
-174639.2503488867,744496.1202621997,n1806
-174637.52983667006,744499.731333746,n1805
-174635.8093244534,744503.3424052922,n1804
-174634.08881223676,744506.9534768385,n1803
-174632.3683000201,744510.5645483847,n1802
-174565.79422305687,744360.270519088,n1801
-174576.1035132185,744358.3709217405,n1800
-174608.23227189772,744351.7107604498,n1799
-174634.37118524866,744344.7918610227,n1798
-174647.5371525408,744349.4134462712,n1797
-174651.80096108612,744366.5522903182,n1796
-174652.20509112647,744392.6048860382,n1795
-174651.67994380524,744408.5236667449,n1794
-174655.49033535202,744437.4808395855,n1793
-174654.00391572824,744454.3616928757,n1792
-174651.49840486073,744471.4807903245,n1791
-174640.83356585898,744492.7973507406,n1790
-174630.64778780346,744514.1756199311,n1726
-174617.4379527391,744524.7505748243,n1725
-174586.1236407022,744536.3406528602,n1724
-174562.90423262498,744541.189064392,n1723
-174545.3129279668,744544.8622724854,n1722
-174506.75063662842,744549.9502098801,n569
-174504.95316686374,744533.2145973339,n570
-174503.02728230532,744492.1317204204,n571
-174501.84370438266,744470.4911449434,n572
-174501.14071330475,744457.637645795,n573
-174497.9385995157,744428.1923593293,n574
-174496.49724295907,744414.9382578409,n575
-174488.23941183256,744379.7035308197,n576
-174481.5862977185,744351.3158499222,n577
-174473.5546196779,744312.7052645627,n578
-174466.89446848258,744280.5965386138,n579
-174462.99611646883,744254.9937265831,n580
-174453.6411150052,744193.1871518417,n581
-174449.01192472546,744159.8068443376,n582
-174445.49645910287,744134.2932955242,n583
-174443.52456928964,744119.9822759758,n584
-174440.43451728538,744100.7682246835,n585
-174438.18230562902,744086.7638952676,n586
-174449.43341943366,744133.5859459969,n2048
-174453.37037976444,744132.8785964696,n2049
-174457.30734009526,744132.1712469424,n2050
-174461.24430042604,744131.463897415,n2051
-174465.18126075683,744130.7565478877,n2052
-174469.1182210876,744130.0491983604,n2053
-174473.05518141843,744129.3418488331,n2054
-174476.99214174922,744128.6344993059,n2055
-174480.93158194193,744127.9416112697,n2056
-174484.87928284047,744127.2968961266,n2057
-174488.826983739,744126.6521809835,n2058
-174492.77468463752,744126.0074658404,n2059
-174496.72238553606,744125.3627506973,n2060
-174500.6700864346,744124.7180355542,n2061
-174504.61778733312,744124.0733204111,n2062
-174508.56548823166,744123.428605268,n2063
-174512.51318913017,744122.7838901249,n2064
-174516.4608900287,744122.1391749819,n2065
-174520.40859092725,744121.4944598387,n2066
-174524.35629182577,744120.8497446956,n2067
-174528.3039927243,744120.2050295526,n2068
-174532.25169362285,744119.5603144094,n2069
-174536.21188564875,744119.0333655409,n2070
-174540.20699424655,744118.8356099044,n2071
-174544.20210284434,744118.637854268,n2072
-174548.19721144217,744118.4400986314,n2073
-174552.19232003996,744118.242342995,n2074
-174556.18742863776,744118.0445873585,n2075
-174560.18409099555,744117.8819781278,n2076
-174564.181064983,744117.726418031,n2077
-174568.17803897045,744117.5708579343,n2078
-174572.1750129579,744117.4152978376,n2079
-174576.17198694532,744117.2597377409,n2080
-174580.16896093276,744117.1041776441,n2081
-174584.16593492022,744116.9486175474,n2082
-174588.16290890766,744116.7930574507,n2083
-174592.1598828951,744116.637497354,n2084
-174596.15685688256,744116.4819372572,n2085
-174600.15383087,744116.3263771605,n2086
-174604.15080485743,744116.1708170638,n2087
-174608.14777884487,744116.015256967,n2088
-174612.14475283233,744115.8596968704,n2089
-174616.14172681977,744115.7041367737,n2090
-174620.1387008072,744115.548576677,n2091
-174621.94665880207,744113.2553895176,n2092
-174622.0072417182,744109.2558483302,n2093
-174622.06782463432,744105.2563071428,n2094
-174622.12840755045,744101.2567659552,n2095
-174622.1889904666,744097.2572247678,n2096
-174621.76897578852,744093.2936690518,n2097
-174621.11346426237,744089.3477465186,n2098
-174620.45795273624,744085.4018239852,n2099
-174617.1489312522,744084.3375728467,n2100
-174613.16244606083,744084.009036975,n2101
-174609.16925101922,744083.8187536052,n2102
-174605.16968695683,744083.759700149,n2103
